,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Source,Ticker,Name,Downloaded on Date
1667,1667,1667,1667,WIKI,TCAP,"Triangle Capital Corp (TCAP) Prices, Dividends, Splits and Trading Volume",20170721
1668,1668,1668,1668,WIKI,TPC,"Tutor Perini (TPC) Prices, Dividends, Splits and Trading Volume",20170721
1669,1669,1669,1669,WIKI,SLCA,"U S Silica Holdings Inc. (SLCA) Prices, Dividends, Splits and Trading Volume",20170721
1670,1670,1670,1670,WIKI,WEYS,"Weyco Group Inc. (WEYS) Prices, Dividends, Splits and Trading Volume",20170721
1671,1671,1671,1671,WIKI,USCR,"U.S. Concrete Inc. (USCR) Prices, Dividends, Splits and Trading Volume",20170721
1672,1672,1672,1672,WIKI,UPL,"Ultra Petroleum Corp. (UPL) Prices, Dividends, Splits and Trading Volume",20170721
1673,1673,1673,1673,WIKI,ULTI,"Ultimate Software Group Inc. (ULTI) Prices, Dividends, Splits and Trading Volume",20170721
1674,1674,1674,1674,WIKI,VVI,"Viad Corp (VVI) Prices, Dividends, Splits and Trading Volume",20170721
1675,1675,1675,1675,WIKI,UGI,"UGI Corp. (UGI) Prices, Dividends, Splits and Trading Volume",20170721
1676,1676,1676,1676,WIKI,UCTT,"Ultra Clean Holdings Inc. (UCTT) Prices, Dividends, Splits and Trading Volume",20170721
1677,1677,1677,1677,WIKI,URG,"Ur-Energy Inc. (URG) Prices, Dividends, Splits and Trading Volume",20170721
1678,1678,1678,1678,WIKI,VMI,"Valmont Industries Inc. (VMI) Prices, Dividends, Splits and Trading Volume",20170721
1679,1679,1679,1679,WIKI,CAKE,"Cheesecake Factory Inc. (The) (CAKE) Prices, Dividends, Splits and Trading Volume",20170721
1680,1680,1680,1680,WIKI,UMBF,"UMB Financial Corp (UMBF) Prices, Dividends, Splits and Trading Volume",20170721
1681,1681,1681,1681,WIKI,UA,"Under Armour (UA) Prices, Dividends, Splits and Trading Volume",20170721
1682,1682,1682,1682,WIKI,UFI,"Unifi Inc. (UFI) Prices, Dividends, Splits and Trading Volume",20170721
1683,1683,1683,1683,WIKI,USAP,"Universal Stainless & Alloy Products Inc. (USAP) Prices, Dividends, Splits and Trading Volume",20170721
1684,1684,1684,1684,WIKI,UFCS,"United Fire Group Inc. (UFCS) Prices, Dividends, Splits and Trading Volume",20170721
1685,1685,1685,1685,WIKI,CBL,"CBL & Associates Properties Inc. (CBL) Prices, Dividends, Splits and Trading Volume",20170721
1686,1686,1686,1686,WIKI,JBLU,"JetBlue Airways Corporation (JBLU) Prices, Dividends, Splits and Trading Volume",20170721
1687,1687,1687,1687,WIKI,UNFI,"United Natural Foods Inc. (UNFI) Prices, Dividends, Splits and Trading Volume",20170721
1688,1688,1688,1688,WIKI,UCBI,"United Community Banks Inc. (Blairsville GA) (UCBI) Prices, Dividends, Splits and Trading Volume",20170721
1689,1689,1689,1689,WIKI,UTL,"UNITIL Corp (UTL) Prices, Dividends, Splits and Trading Volume",20170721
1690,1690,1690,1690,WIKI,UCFC,"United Community Financial Corp. (OH) (UCFC) Prices, Dividends, Splits and Trading Volume",20170721
1691,1691,1691,1691,WIKI,USM,"U.S. Cellular Corp. (USM) Prices, Dividends, Splits and Trading Volume",20170721
1692,1692,1692,1692,WIKI,WMAR,"West Marine Inc. (WMAR) Prices, Dividends, Splits and Trading Volume",20170721
1693,1693,1693,1693,WIKI,UVSP,"Univest Corp. of Pennsylvania (Souderton) (UVSP) Prices, Dividends, Splits and Trading Volume",20170721
1694,1694,1694,1694,WIKI,UTI,"Universal Technical Institute Inc. (UTI) Prices, Dividends, Splits and Trading Volume",20170721
1695,1695,1695,1695,WIKI,OLED,"Universal Display Corporation (OLED) Prices, Dividends, Splits and Trading Volume",20170721
1696,1696,1696,1696,WIKI,VR,"Validus Holdings Ltd (VR) Prices, Dividends, Splits and Trading Volume",20170721
1697,1697,1697,1697,WIKI,VAL,"Valspar Corp. (VAL) Prices, Dividends, Splits and Trading Volume",20170721
1698,1698,1698,1698,WIKI,WABC,"WestAmerica Bancorporation (WABC) Prices, Dividends, Splits and Trading Volume",20170721
1699,1699,1699,1699,WIKI,WOOF,"VCA Inc (WOOF) Prices, Dividends, Splits and Trading Volume",20170721
1700,1700,1700,1700,WIKI,VHC,"VirnetX Holding (VHC) Prices, Dividends, Splits and Trading Volume",20170721
1701,1701,1701,1701,WIKI,WCG,"WellCare Health Plans Inc. (WCG) Prices, Dividends, Splits and Trading Volume",20170721
1702,1702,1702,1702,WIKI,VECO,"Veeco Instruments Inc. (VECO) Prices, Dividends, Splits and Trading Volume",20170721
1703,1703,1703,1703,WIKI,VDSI,"VASCO Data Security International Inc. (VDSI) Prices, Dividends, Splits and Trading Volume",20170721
1704,1704,1704,1704,WIKI,VRA,"Vera Bradley Inc. (VRA) Prices, Dividends, Splits and Trading Volume",20170721
1705,1705,1705,1705,WIKI,VLY,"Valley National Bancorp (VLY) Prices, Dividends, Splits and Trading Volume",20170721
1706,1706,1706,1706,WIKI,AGTC,"Applied Genetic Technologies Corp (AGTC) Prices, Dividends, Splits and Trading Volume",20170721
1707,1707,1707,1707,WIKI,MTN,"Vail Resorts Inc. (MTN) Prices, Dividends, Splits and Trading Volume",20170721
1708,1708,1708,1708,WIKI,WAB,"Westinghouse Air Brake Technologies Corp. (WAB) Prices, Dividends, Splits and Trading Volume",20170721
1709,1709,1709,1709,WIKI,VRNT,"Verint Systems Inc. (VRNT) Prices, Dividends, Splits and Trading Volume",20170721
1710,1710,1710,1710,WIKI,WSBC,"WesBanco Inc. (WSBC) Prices, Dividends, Splits and Trading Volume",20170721
1711,1711,1711,1711,WIKI,VICR,"Vicor Corporation (VICR) Prices, Dividends, Splits and Trading Volume",20170721
1712,1712,1712,1712,WIKI,RMAX,"Re/Max Holdings Inc (RMAX) Prices, Dividends, Splits and Trading Volume",20170721
1713,1713,1713,1713,WIKI,WDR,"Waddell & Reed Financial Inc. (WDR) Prices, Dividends, Splits and Trading Volume",20170721
1714,1714,1714,1714,WIKI,WNC,"Wabash National Corp. (WNC) Prices, Dividends, Splits and Trading Volume",20170721
1715,1715,1715,1715,WIKI,WR,"Westar Energy Inc (WR) Prices, Dividends, Splits and Trading Volume",20170721
1716,1716,1716,1716,WIKI,WAC,"Walter Investment Management Corp (WAC) Prices, Dividends, Splits and Trading Volume",20170721
1717,1717,1717,1717,WIKI,VPG,"Vishay Precision Group (VPG) Prices, Dividends, Splits and Trading Volume",20170721
1718,1718,1718,1718,WIKI,WBMD,"WebMD Health Corp (WBMD) Prices, Dividends, Splits and Trading Volume",20170721
1719,1719,1719,1719,WIKI,WNR,"Western Refining Inc (WNR) Prices, Dividends, Splits and Trading Volume",20170721
1720,1720,1720,1720,WIKI,WBS,"Webster Financial Corp (Waterbury Conn) (WBS) Prices, Dividends, Splits and Trading Volume",20170721
1721,1721,1721,1721,WIKI,WST,"West Pharmaceutical Services Inc. (WST) Prices, Dividends, Splits and Trading Volume",20170721
1722,1722,1722,1722,WIKI,WDFC,"WD-40 Co. (WDFC) Prices, Dividends, Splits and Trading Volume",20170721
